city,state_id,state_name,county_name,lat,lng,timezone
Hammonton,NJ,New Jersey,Atlantic,39.6572,-74.7678,America/New_York
Chatham,IL,Illinois,Sangamon,39.6733,-89.6934,America/Chicago
Deming,NM,New Mexico,Luna,32.2631,-107.7525,America/Denver
Ramsey,NJ,New Jersey,Bergen,41.0595,-74.1454,America/New_York
Hickory Hills,IL,Illinois,Cook,41.7248,-87.8280,America/Chicago
Lockhart,TX,Texas,Caldwell,29.8785,-97.6831,America/Chicago
Cedar Lake,IN,Indiana,Lake,41.3696,-87.4389,America/Chicago
Alexander City,AL,Alabama,Tallapoosa,32.9229,-85.9358,America/Chicago
Broadlands,VA,Virginia,Loudoun,39.0168,-77.5167,America/New_York
Sterling,IL,Illinois,Whiteside,41.7996,-89.6956,America/Chicago
Lakeland North,WA,Washington,King,47.3374,-122.2812,America/Los_Angeles
Thonotosassa,FL,Florida,Hillsborough,28.0464,-82.2910,America/New_York
Owosso,MI,Michigan,Shiawassee,42.9955,-84.1760,America/Detroit
Black Forest,CO,Colorado,El Paso,39.0608,-104.6752,America/Denver
Gladeview,FL,Florida,Miami-Dade,25.8395,-80.2368,America/New_York
Greendale,WI,Wisconsin,Milwaukee,42.9371,-88.0018,America/Chicago
Chippewa Falls,WI,Wisconsin,Chippewa,44.9358,-91.3902,America/Chicago
Beacon,NY,New York,Dutchess,41.5036,-73.9655,America/New_York
Hutchinson,MN,Minnesota,McLeod,44.8855,-94.3768,America/Chicago
Naranja,FL,Florida,Miami-Dade,25.5164,-80.4222,America/New_York
Monticello,MN,Minnesota,Wright,45.2991,-93.7996,America/Chicago
Fraser,MI,Michigan,Macomb,42.5388,-82.9496,America/Detroit
Swansea,IL,Illinois,St. Clair,38.5507,-89.9858,America/Chicago
Great Bend,KS,Kansas,Barton,38.3593,-98.8015,America/Chicago
Falls Church,VA,Virginia,Falls Church,38.8847,-77.1751,America/New_York
Red Bluff,CA,California,Tehama,40.1735,-122.2413,America/Los_Angeles
Alexandria,MN,Minnesota,Douglas,45.8776,-95.3767,America/Chicago
Cherryland,CA,California,Alameda,37.6792,-122.1038,America/Los_Angeles
Clarkston,GA,Georgia,DeKalb,33.8117,-84.2403,America/New_York
Key Biscayne,FL,Florida,Miami-Dade,25.6908,-80.1653,America/New_York
Reidsville,NC,North Carolina,Rockingham,36.3376,-79.6725,America/New_York
Nolensville,TN,Tennessee,Williamson,35.9572,-86.6719,America/Chicago
Parlier,CA,California,Fresno,36.6087,-119.5434,America/Los_Angeles
Moultrie,GA,Georgia,Colquitt,31.1591,-83.7708,America/New_York
Edgewater,NJ,New Jersey,Bergen,40.8237,-73.9740,America/New_York
Moorestown-Lenola,NJ,New Jersey,Burlington,39.9659,-74.9643,America/New_York
Salem Lakes,WI,Wisconsin,Kenosha,42.5366,-88.1306,America/Chicago
Middlesex,NJ,New Jersey,Middlesex,40.5744,-74.5011,America/New_York
Cayey,PR,Puerto Rico,Cayey,18.1150,-66.1630,America/Puerto_Rico
Verona,WI,Wisconsin,Dane,42.9892,-89.5383,America/Chicago
Mount Vernon,IL,Illinois,Jefferson,38.3140,-88.9174,America/Chicago
Bothell East,WA,Washington,Snohomish,47.8064,-122.1844,America/Los_Angeles
Jasper,AL,Alabama,Walker,33.8508,-87.2710,America/Chicago
Brainerd,MN,Minnesota,Crow Wing,46.3553,-94.1983,America/Chicago
Hopatcong,NJ,New Jersey,Sussex,40.9541,-74.6593,America/New_York
Oneonta,NY,New York,Otsego,42.4551,-75.0666,America/New_York
Wilmington Island,GA,Georgia,Chatham,32.0033,-80.9752,America/New_York
